id,year,Hispanic,Female,Grades,tobacco,alcohol,mj,sibsmoke,sibdrink,adultdrink,year_value,present,school,has_sib,exposure_smoke,exposure_drink,exposure_mj
99,4,1,1,4.5,0,0,0,0,0,0,2013,1,111,1,0,0,0
100,1,0,1,5,0,0,0,0,0,0,2010,1,111,1,-1,-1,-1
100,2,0,1,5,0,0,0,0,0,0,2011,1,111,1,0,0,0
100,4,0,1,5,0,0,0,0,0,0,2013,1,111,1,0,0,0
101,1,1,1,4.5,0,0,0,0,0,0,2010,1,111,1,-1,-1,-1
101,2,1,1,3.83333333333333,0,0,0,0,0,1,2011,1,111,1,0.333333333333333,0.333333333333333,0
101,3,1,1,3.5,0,0,0,0,0,1,2012,1,111,1,0,0.25,0
101,4,1,1,3.5,0,0,0,0,1,1,2013,1,111,1,0,1,0
102,1,0,1,5,0,0,0,0,0,0,2010,1,111,1,-1,-1,-1
102,2,0,1,5,0,0,0,0,0,0,2011,1,111,1,0,0,0
102,4,0,1,5,0,0,0,1,1,0,2013,1,111,1,0,0,0
103,1,0,0,5,0,1,0,1,0,1,2010,1,111,1,-1,-1,-1
103,2,0,0,5,0,1,0,1,0,1,2011,1,111,1,0.333333333333333,0.666666666666667,0.333333333333333
103,4,0,0,5,1,1,1,1,1,1,2013,1,111,1,0,0,0
104,2,0,1,5,0,0,0,0,0,0,2011,1,111,1,0,0,0
104,4,0,1,5,0,0,0,0,0,0,2013,1,111,1,0,0,0
105,1,1,0,2.5,0,1,0,0,0,0,2010,1,111,1,-1,-1,-1
105,2,1,0,3,0,1,0,0,0,0,2011,1,111,1,0,0,0
105,4,1,0,3.5,0,1,0,0,1,1,2013,1,111,1,0,0,0
106,1,1,0,3.5,0,0,0,0,0,1,2010,1,111,1,-1,-1,-1
106,3,1,0,3.5,0,1,0,0,0,0,2012,1,111,1,0,0,0
106,4,1,0,3,0,1,0,0,1,0,2013,1,111,1,0.5,1,0.5
109,1,1,1,2.5,0,1,0,0,0,1,2010,1,111,1,-1,-1,-1
109,4,1,1,3,1,1,1,0,1,0,2013,1,111,1,0.4,0.7,0.5
111,1,1,0,3,0,1,0,0,0,1,2010,1,111,1,-1,-1,-1
111,2,1,0,3.5,0,1,0,0,0,1,2011,1,111,1,0.5,0.75,0.25
111,3,1,0,3.5,0,1,0,0,0,1,2012,1,111,1,0,0,0.333333333333333
111,4,1,0,4,0,1,0,0,1,1,2013,1,111,1,0.8,1,0.6
112,1,1,1,4,0,1,0,0,0,1,2010,1,111,1,-1,-1,-1
112,3,1,1,4.5,0,1,0,0,0,1,2012,1,111,1,0,0,0
114,2,1,1,3.16666666666667,0,1,0,1,0,1,2011,1,111,1,0.181818181818182,0.636363636363636,0.272727272727273
114,3,1,1,3.5,0,1,0,0,0,1,2012,1,111,1,0,0.5,0.333333333333333
114,4,1,1,3,0,1,0,1,1,1,2013,1,111,1,0.222222222222222,0.888888888888889,0.444444444444444
115,2,1,1,3.5,0,0,0,0,0,1,2011,1,111,1,0,0,0
115,3,1,1,3.5,0,0,0,0,0,1,2012,1,111,1,0,0.2,0
115,4,1,1,3.5,0,0,0,0,0,1,2013,1,111,1,0.5,1,1
116,2,1,0,3.5,0,0,0,0,0,0,2011,1,111,1,0,0,0
116,3,1,0,3.5,0,0,0,0,0,0,2012,1,111,1,0.333333333333333,0.333333333333333,0
116,4,1,0,3.5,0,0,0,0,0,0,2013,1,111,1,0,0.333333333333333,0.333333333333333
117,1,1,1,3.5,0,0,0,0,0,1,2010,1,111,1,-1,-1,-1
117,3,1,1,4.5,0,0,0,0,0,0,2012,1,111,1,0,0,0
117,4,1,1,4.5,0,0,0,0,0,0,2013,1,111,1,0.5,0.5,0.5
118,1,1,1,3.5,0,1,0,1,0,1,2010,1,111,1,-1,-1,-1
118,2,1,1,3.5,0,1,0,1,0,1,2011,1,111,1,0,0,0
118,3,1,1,3.5,0,1,0,0,0,0,2012,1,111,1,0,0.25,0
118,4,1,1,4,1,1,1,1,1,1,2013,1,111,1,0,0.454545454545455,0.0909090909090909
119,2,1,1,3.5,0,0,0,0,0,0,2011,1,111,1,0,0.666666666666667,0.333333333333333
119,4,1,1,3.5,1,1,0,0,0,1,2013,1,111,1,0,0,0
120,2,0,0,3.5,0,0,0,0,0,1,2011,1,111,0,0.111111111111111,0.333333333333333,0.111111111111111
120,3,0,0,3.5,0,0,0,0,0,1,2012,1,111,1,0,0.5,0
120,4,0,1,4,0,0,0,0,0,0,2013,1,111,1,0,0.625,0.25
121,2,0,0,3.5,0,0,0,0,0,0,2011,1,111,1,0,0,0
121,3,0,0,3.5,0,0,0,0,0,0,2012,1,111,1,0.375,0.375,0.375
121,4,0,1,3.5,0,0,0,0,0,0,2013,1,111,1,0,0.4,0.2
122,1,0,0,3.5,0,0,0,0,0,0,2010,1,111,1,-1,-1,-1
122,2,0,0,3.5,0,0,0,0,0,1,2011,1,111,1,0.5,0.5,0.5
122,4,0,0,4,1,1,1,0,0,0,2013,1,111,1,0.5,0.5,0.5
123,1,1,0,3.5,0,1,0,0,0,1,2010,1,111,0,-1,-1,-1
123,2,1,0,3.66666666666667,0,1,0,0,0,1,2011,1,111,0,0,0,0
123,3,1,0,3.5,0,1,0,0,0,1,2012,1,111,0,0,0.333333333333333,0
123,4,1,0,4,0,1,0,0,0,1,2013,1,111,0,0,1,0
125,1,1,0,4.5,0,0,0,0,0,0,2010,1,111,1,-1,-1,-1
125,2,1,0,4.5,0,0,0,0,0,0,2011,1,111,1,0,0.25,0
125,3,1,0,4.5,0,0,0,0,0,1,2012,1,111,1,0,0.333333333333333,0
125,4,1,1,5,0,0,0,0,1,1,2013,1,111,1,0,0.333333333333333,0
127,2,1,0,4.5,1,0,1,0,0,0,2011,1,111,1,0.333333333333333,0,0
127,4,1,0,3.5,1,0,1,0,0,0,2013,1,111,1,0,0,0
128,1,1,1,4.5,0,0,0,0,0,1,2010,1,111,1,-1,-1,-1
128,2,1,1,4.5,0,1,1,0,0,1,2011,1,111,1,0.25,1,0.25
128,4,1,1,3.5,0,1,1,0,0,1,2013,1,111,1,0,0,0
129,1,1,1,3.5,0,1,0,0,0,1,2010,1,111,1,-1,-1,-1
129,2,1,1,3,0,1,0,1,0,1,2011,1,111,1,0.428571428571429,0.428571428571429,0.285714285714286
129,4,1,1,4,0,1,0,1,1,1,2013,1,111,1,0,0,0
